t,basic_wheel3x1.Struktur.w_a[1],basic_wheel3x1.Struktur.w_a[2],basic_wheel3x1.Struktur.w_a[3]
s,rad/s,rad/s,rad/s
13.99596738542,0.0500000691404933,0.0999999962172775,0.099999978579847
14.028814574938,0.0500000691842838,0.0999999958824304,0.0999999774286086
14.061661764456,0.0500000691080353,0.0999999956440583,0.0999999763408827
14.094508953974,0.0500000693141145,0.0999999954901017,0.0999999753284977
14.127356143492,0.0500000693629246,0.0999999951267596,0.0999999745423787
14.16020333301,0.0500000695273679,0.0999999948638057,0.0999999739385264
14.193050522528,0.0500000695726668,0.0999999946209792,0.0999999734849501
14.225897712046,0.0500000696510163,0.0999999943356063,0.0999999730720645
14.258744901564,0.0500000701456883,0.0999999938465388,0.0999999728733228
14.291592091082,0.0500000699558599,0.0999999935771427,0.0999999725481259
14.3244392806,0.0500000702150986,0.0999999938291415,0.0999999726219073
14.357286470118,0.0500000696017856,0.099999993357014,0.0999999721610552
14.390133659636,0.0500000695992357,0.0999999930299085,0.0999999719898022
14.422980849154,0.0500000698058403,0.0999999928854601,0.0999999721293322
14.455828038672,0.0500000698399946,0.0999999925308944,0.0999999722398075
14.48867522819,0.0500000699388797,0.0999999919421435,0.0999999721824492
14.521522417708,0.0500000702599016,0.0999999919834692,0.0999999726472555
14.554369607226,0.0500000702841365,0.0999999919039987,0.0999999729522429
14.587216796744,0.0500000712566743,0.0999999908679964,0.0999999735692637
14.620063986262,0.0500000708071502,0.0999999908114939,0.0999999737633318
14.65291117578,0.0500000696784015,0.0999999879291186,0.099999972862119
14.685758365298,0.0500000704544244,0.0999999893257646,0.0999999733132437
14.718605554816,0.0500000706510268,0.099999989704161,0.0999999737714823
14.751452744334,0.0500000705671331,0.0999999896307808,0.0999999742881264
14.784299933852,0.0500000706389156,0.0999999896220657,0.0999999746778105
14.81714712337,0.0500000705261234,0.0999999894109797,0.0999999749717418
14.849994312888,0.0500000705175849,0.0999999892387832,0.0999999751897146
14.882841502406,0.0500000705368079,0.0999999890924327,0.099999975547327
14.915688691924,0.0500000705651685,0.099999988859716,0.0999999759226505
14.948535881442,0.0500000704799625,0.0999999881634005,0.0999999760324077
14.98138307096,0.0500000704412873,0.099999988192072,0.0999999763072082
15,0.050000070578918,0.0999999880824558,0.0999999765294312
